Gene names,Intensity,Intensity 1,Intensity 10,Intensity 11,Intensity 12,Intensity 13,Intensity 14,Intensity 15,Intensity 16,Intensity 17,Intensity 18,Intensity 19,Intensity 2,Intensity 20,Intensity 21,Intensity 22,Intensity 23,Intensity 24,Intensity 25,Intensity 26,Intensity 27,Intensity 28,Intensity 29,Intensity 3,Intensity 30,Intensity 31,Intensity 32,Intensity 33,Intensity 34,Intensity 35,Intensity 36,Intensity 37,Intensity 38,Intensity 4,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9
NDEL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP1B,14530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4925500,0,0,0,0,9604500,0,0,0,0,0,0,0,0,0,0
ASXL1;ASXH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFD1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METTL15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROSER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP14,183980000,15098000,0,0,0,20464000,0,10032000,0,0,0,0,16509000,0,0,0,0,0,0,0,0,0,0,30722000,0,0,0,0,0,0,0,0,0,11235000,14775000,35427000,0,16890000,12832000
EIF1AX;EIF1AY,6271400000,0,218450000,0,104400000,519750000,318860000,264610000,0,7107600,0,137290000,0,40667000,157060000,291170000,45203000,152800000,229480000,135200000,391950000,346360000,205490000,171040000,159920000,389390000,327170000,423780000,236930000,312540000,268040000,184270000,0,0,0,232480000,0,0,0
ZSCAN5A;ZSCAN5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDKN1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNPEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC85C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAC3D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
